FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses
0.46,0.78,60.0,645.0,235.0,143.0,40.0,30.0,86.0,250.0,544.0,85.0,109.0,Fabio,Breathe Breathe,0,4.0,7.0
0.493,0.826,76.0,742.0,279.0,125.0,61.0,43.0,93.0,276.0,560.0,114.0,138.0,Yi Sheng,Big Face Coffee Co,0,11.0,0.0
0.474,0.72,66.0,620.0,293.0,136.0,34.0,33.0,77.0,232.0,489.0,90.0,125.0,Kayla,NotThanos,1,3.0,8.0
0.469,0.797,65.0,751.0,264.0,176.0,38.0,34.0,81.0,296.0,631.0,94.0,118.0,Chi Yen,This draft is rigged,1,10.0,1.0
0.433,0.828,81.0,683.0,240.0,164.0,42.0,26.0,78.0,241.0,557.0,120.0,145.0,Bryan,Balonso Ball,2,8.0,3.0
0.472,0.774,78.0,733.0,299.0,159.0,38.0,33.0,111.0,266.0,564.0,123.0,159.0,Alan,LeKimchi,2,7.0,4.0
0.422,0.752,52.0,539.0,209.0,137.0,48.0,19.0,92.0,195.0,462.0,97.0,129.0,David,Yi Shengs Yaks,3,0.0,11.0
0.447,0.779,64.0,616.0,262.0,105.0,52.0,23.0,67.0,239.0,535.0,74.0,95.0,Kai,The Baptist,3,5.0,6.0
0.407,0.832,70.0,694.0,241.0,139.0,50.0,21.0,106.0,250.0,615.0,124.0,149.0,Jack,He boomed me,4,4.0,7.0
0.437,0.738,69.0,698.0,318.0,102.0,58.0,18.0,96.0,261.0,597.0,107.0,145.0,Gary,Morning Wood,4,5.0,6.0
0.399,0.776,96.0,622.0,257.0,166.0,45.0,18.0,102.0,211.0,529.0,104.0,134.0,michaellee0407,Curry Everyday ,5,3.0,8.0
0.441,0.73,57.0,592.0,309.0,157.0,50.0,31.0,75.0,227.0,515.0,81.0,111.0,Eli,Anti-Vax and Ready to Relax,5,6.0,5.0
