FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,matchupNumber,totalWins,totalLosses,totalTies
0.4960159362549801,0.7769230769230769,72.0,671.0,269.0,167.0,41.0,16.0,84.0,249.0,502.0,101.0,130.0,Fabio,Bring Me A Shot ,0,7.0,3.0,1.0
0.49891540130151846,0.753968253968254,55.0,610.0,261.0,131.0,51.0,36.0,68.0,230.0,461.0,95.0,126.0,Eli,MarketOverHuerted ,0,5.0,6.0,0.0
0.5013192612137203,0.7802197802197802,39.0,490.0,232.0,151.0,23.0,16.0,58.0,190.0,379.0,71.0,91.0,Bryan,Clint No Cap ,1,1.0,10.0,0.0
0.48729792147806006,0.7122302158273381,60.0,581.0,205.0,111.0,45.0,30.0,61.0,211.0,433.0,99.0,139.0,Jack,Tatum Tots,1,2.0,9.0,0.0
0.4618973561430793,0.8317307692307693,76.0,843.0,269.0,140.0,32.0,21.0,85.0,297.0,643.0,173.0,208.0,Alan,China Klay,2,9.0,1.0,1.0
0.5054347826086957,0.7701863354037267,83.0,765.0,256.0,156.0,42.0,18.0,95.0,279.0,552.0,124.0,161.0,Kai,Mo Murrays Mo Problems,2,8.0,3.0,0.0
0.5057034220532319,0.708029197080292,65.0,694.0,300.0,139.0,34.0,19.0,92.0,266.0,526.0,97.0,137.0,michaellee0407,Ma Ball is back ,3,6.0,5.0,0.0
0.4656616415410385,0.7788461538461539,85.0,803.0,316.0,181.0,50.0,20.0,95.0,278.0,597.0,162.0,208.0,Gary,Kuzma Nutz,3,11.0,0.0,0.0
0.4549266247379455,0.8354430379746836,60.0,626.0,221.0,107.0,24.0,21.0,81.0,217.0,477.0,132.0,158.0,Kayla,NotThanos,4,2.0,9.0,0.0
0.45707070707070707,0.7307692307692307,57.0,495.0,163.0,85.0,28.0,32.0,54.0,181.0,396.0,76.0,104.0,Chi Yen,Sit down Yisheng,4,1.0,10.0,0.0
0.47635135135135137,0.8241206030150754,72.0,800.0,221.0,194.0,43.0,39.0,100.0,282.0,592.0,164.0,199.0,David,Dumpling Diddlers,5,9.0,2.0,0.0
0.4468864468864469,0.7956204379562044,71.0,668.0,247.0,205.0,32.0,28.0,103.0,244.0,546.0,109.0,137.0,Yi Sheng,PokusEASON,5,4.0,7.0,0.0
