FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.48951048951048953,0.8163265306122449,83.0,723.0,232.0,149.0,39.0,26.0,64.0,280.0,572.0,80.0,98.0,Fabio,iHart Radio ,428.l.2784.t.1,0,64.0,83.0,39.0,8.0,1.0,2.0
0.5214007782101168,0.7807017543859649,69.0,694.0,232.0,174.0,40.0,37.0,89.0,268.0,514.0,89.0,114.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,0,89.0,69.0,40.0,8.0,1.0,2.0
0.5105882352941177,0.808641975308642,52.0,617.0,165.0,148.0,34.0,22.0,58.0,217.0,425.0,131.0,162.0,Bryan,Balonso Ball,428.l.2784.t.2,1,58.0,52.0,34.0,3.0,8.0,0.0
0.47804878048780486,0.736,71.0,555.0,168.0,114.0,28.0,6.0,51.0,196.0,410.0,92.0,125.0,Gary,Nazel Tov,428.l.2784.t.7,1,51.0,71.0,28.0,1.0,10.0,0.0
0.4688128772635815,0.7131147540983607,63.0,616.0,235.0,162.0,47.0,28.0,64.0,233.0,497.0,87.0,122.0,Kai,Bryguy23,428.l.2784.t.3,2,64.0,63.0,47.0,3.0,6.0,2.0
0.4835589941972921,0.78125,72.0,672.0,212.0,137.0,26.0,28.0,77.0,250.0,517.0,100.0,128.0,Kayla,NotThanos,428.l.2784.t.9,2,77.0,72.0,26.0,3.0,7.0,1.0
0.47808764940239046,0.7746478873239436,85.0,620.0,202.0,167.0,41.0,20.0,72.0,240.0,502.0,55.0,71.0,Alan,Batmo Beal,428.l.2784.t.4,3,72.0,85.0,41.0,4.0,7.0,0.0
0.5590062111801242,0.7473684210526316,79.0,690.0,225.0,174.0,36.0,34.0,56.0,270.0,483.0,71.0,95.0,Eli,The Block Party ,428.l.2784.t.6,3,56.0,79.0,36.0,7.0,4.0,0.0
0.4959349593495935,0.703125,17.0,306.0,171.0,90.0,21.0,22.0,41.0,122.0,246.0,45.0,64.0,David,Dumpling Diddlers,428.l.2784.t.5,4,41.0,17.0,21.0,0.0,11.0,0.0
0.48722627737226276,0.7758620689655172,88.0,712.0,238.0,187.0,32.0,31.0,65.0,267.0,548.0,90.0,116.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,4,65.0,88.0,32.0,9.0,2.0,0.0
0.5056910569105691,0.81,98.0,801.0,249.0,148.0,38.0,27.0,89.0,311.0,615.0,81.0,100.0,michaellee0407,Welcome to Wemby ,428.l.2784.t.8,5,89.0,98.0,38.0,10.0,0.0,1.0
0.4752851711026616,0.8012422360248447,54.0,683.0,231.0,178.0,34.0,33.0,86.0,250.0,526.0,129.0,161.0,Jack,Sengoon Squad,428.l.2784.t.10,5,86.0,54.0,34.0,6.0,5.0,0.0
